fltno,dest,source,freq,route
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,5,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 598,CCU,PNQ,7,CCU-PNQ
I5 787,DEL,GAU,1,DEL-GAU
I5 787,DEL,GAU,7,DEL-GAU
I5 783,DEL,GAU,4,DEL-GAU
I5 783,DEL,GAU,3,DEL-GAU
I5 785,DEL,GAU,7,DEL-GAU
I5 787,DEL,GAU,1,DEL-GAU
I5 787,DEL,GAU,7,DEL-GAU
I5 784,IMF,GAU,7,IMF-GAU
I5 1882,BLR,GAU,1,BLR-GAU
I5 1982,BLR,GAU,1,BLR-GAU
I5 1982,BLR,GAU,5,BLR-GAU
I5 580,IXA,GAU,4,IXA-GAU
I5 584,CCU,GAU,7,CCU-GAU
I5 538,CCU,GAU,7,CCU-GAU
I5 2990,CCU,GAU,7,CCU-GAU
I5 2382,HYD,MAA,7,HYD-MAA
I5 761,DEL,MAA,1,DEL-MAA
I5 761,DEL,MAA,7,DEL-MAA
I5 2383,BLR,MAA,7,BLR-MAA
I5 2389,BLR,MAA,7,BLR-MAA
I5 2393,BLR,MAA,7,BLR-MAA
I5 1517,HYD,GOI,6,HYD-GOI
I5 1517,HYD,GOI,1,HYD-GOI
I5 779,DEL,GOI,7,DEL-GOI
I5 779,DEL,GOI,1,DEL-GOI
I5 775,DEL,GOI,7,DEL-GOI
I5 798,DEL,GOI,7,DEL-GOI
I5 796,DEL,GOI,7,DEL-GOI
I5 773,DEL,GOI,7,DEL-GOI
I5 779,DEL,GOI,6,DEL-GOI
I5 1322,BLR,GOI,1,BLR-GOI
I5 1322,BLR,GOI,6,BLR-GOI
I5 1334,BLR,GOI,1,BLR-GOI
I5 1334,BLR,GOI,6,BLR-GOI
I5 1328,BLR,GOI,1,BLR-GOI
I5 1328,BLR,GOI,6,BLR-GOI
I5 1324,BLR,GOI,1,BLR-GOI
I5 1324,BLR,GOI,5,BLR-GOI
I5 1322,BLR,GOI,1,BLR-GOI
I5 1322,BLR,GOI,6,BLR-GOI
I5 1334,BLR,GOI,1,BLR-GOI
I5 1334,BLR,GOI,6,BLR-GOI
I5 1328,BLR,GOI,7,BLR-GOI
I5 2465,IDR,GOI,7,IDR-GOI
I5 511,HYD,CCU,6,HYD-CCU
I5 511,HYD,CCU,1,HYD-CCU
I5 548,DEL,CCU,7,DEL-CCU
I5 548,DEL,CCU,1,DEL-CCU
I5 550,DEL,CCU,7,DEL-CCU
I5 548,DEL,CCU,1,DEL-CCU
I5 548,DEL,CCU,1,DEL-CCU
I5 548,DEL,CCU,6,DEL-CCU
I5 536,BBI,CCU,7,BBI-CCU
I5 1562,BBI,CCU,7,BBI-CCU
I5 536,BBI,CCU,7,BBI-CCU
I5 1562,BBI,CCU,7,BBI-CCU
I5 583,IXB,CCU,7,IXB-CCU
I5 588,IXB,CCU,7,IXB-CCU
I5 317,BOM,CCU,7,BOM-CCU
I5 518,VTZ,CCU,7,VTZ-CCU
I5 2990,BLR,CCU,1,BLR-CCU
I5 2990,BLR,CCU,6,BLR-CCU
I5 592,BLR,CCU,7,BLR-CCU
I5 2472,BLR,CCU,6,BLR-CCU
I5 2472,BLR,CCU,1,BLR-CCU
I5 2990,BLR,CCU,1,BLR-CCU
I5 2990,BLR,CCU,1,BLR-CCU
I5 2990,BLR,CCU,5,BLR-CCU
I5 592,BLR,CCU,7,BLR-CCU
I5 545,IXR,CCU,7,IXR-CCU
I5 599,PNQ,CCU,7,PNQ-CCU
I5 585,GAU,CCU,7,GAU-CCU
I5 539,GAU,CCU,7,GAU-CCU
I5 2991,GAU,CCU,7,GAU-CCU
I5 557,MAA,CCU,7,MAA-CCU
I5 599,MAA,CCU,7,MAA-CCU
I5 551,IXA,CCU,6,IXA-CCU
I5 502,IXA,CCU,3,IXA-CCU
I5 581,IXA,CCU,4,IXA-CCU
I5 715,DEL,SXR,7,DEL-SXR
I5 712,DEL,SXR,7,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,6,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,1,DEL-SXR
I5 726,DEL,HYD,1,DEL-HYD
I5 726,DEL,HYD,7,DEL-HYD
I5 757,DEL,HYD,7,DEL-HYD
I5 718,DEL,HYD,1,DEL-HYD
I5 718,DEL,HYD,7,DEL-HYD
I5 1568,BBI,HYD,7,BBI-HYD
I5 1526,COK,HYD,1,COK-HYD
I5 1526,COK,HYD,6,COK-HYD
I5 344,BOM,HYD,1,BOM-HYD
I5 344,BOM,HYD,6,BOM-HYD
I5 1543,JAI,HYD,7,JAI-HYD
I5 1620,BLR,HYD,5,BLR-HYD
I5 1620,BLR,HYD,1,BLR-HYD
I5 1620,BLR,HYD,7,BLR-HYD
I5 1620,BLR,HYD,1,BLR-HYD
I5 1620,BLR,HYD,5,BLR-HYD
I5 1576,BLR,HYD,7,BLR-HYD
I5 1528,BLR,HYD,7,BLR-HYD
I5 1620,BLR,HYD,6,BLR-HYD
I5 1722,BLR,HYD,2,BLR-HYD
I5 1722,BLR,HYD,3,BLR-HYD
I5 1722,BLR,HYD,1,BLR-HYD
I5 1516,BLR,HYD,3,BLR-HYD
I5 1516,BLR,HYD,3,BLR-HYD
I5 1516,BLR,HYD,1,BLR-HYD
I5 362,BLR,HYD,6,BLR-HYD
I5 364,BLR,HYD,1,BLR-HYD
I5 517,MAA,HYD,5,MAA-HYD
I5 353,MAA,HYD,7,MAA-HYD
I5 2381,MAA,HYD,7,MAA-HYD
I5 1518,GOI,HYD,6,GOI-HYD
I5 1518,GOI,HYD,1,GOI-HYD
I5 510,CCU,HYD,1,CCU-HYD
I5 510,CCU,HYD,7,CCU-HYD
I5 712,HYD,DEL,7,HYD-DEL
I5 607,HYD,DEL,1,HYD-DEL
I5 727,HYD,DEL,7,HYD-DEL
I5 755,HYD,DEL,7,HYD-DEL
I5 882,IXB,DEL,1,IXB-DEL
I5 743,IXB,DEL,7,IXB-DEL
I5 768,IXB,DEL,7,IXB-DEL
I5 757,IXB,DEL,7,IXB-DEL
I5 792,COK,DEL,7,COK-DEL
I5 814,COK,DEL,7,COK-DEL
I5 330,BOM,DEL,7,BOM-DEL
I5 715,BOM,DEL,7,BOM-DEL
I5 882,BOM,DEL,1,BOM-DEL
I5 546,BOM,DEL,1,BOM-DEL
I5 315,BOM,DEL,6,BOM-DEL
I5 481,BOM,DEL,7,BOM-DEL
I5 780,IMF,DEL,7,IMF-DEL
I5 772,AMD,DEL,6,AMD-DEL
I5 793,AMD,DEL,7,AMD-DEL
I5 602,JAI,DEL,1,JAI-DEL
I5 782,JAI,DEL,7,JAI-DEL
I5 722,BLR,DEL,7,BLR-DEL
I5 2878,BLR,DEL,7,BLR-DEL
I5 737,BLR,DEL,7,BLR-DEL
I5 741,BLR,DEL,1,BLR-DEL
I5 741,BLR,DEL,6,BLR-DEL
I5 745,IXR,DEL,7,IXR-DEL
I5 549,IXR,DEL,7,IXR-DEL
I5 753,IDR,DEL,7,IDR-DEL
I5 751,IDR,DEL,7,IDR-DEL
I5 749,IDR,DEL,7,IDR-DEL
I5 332,IXC,DEL,6,IXC-DEL
I5 482,IXC,DEL,7,IXC-DEL
I5 705,IXC,DEL,7,IXC-DEL
I5 736,PNQ,DEL,1,PNQ-DEL
I5 736,PNQ,DEL,7,PNQ-DEL
I5 729,PNQ,DEL,7,PNQ-DEL
I5 732,PNQ,DEL,7,PNQ-DEL
I5 798,GAU,DEL,7,GAU-DEL
I5 784,GAU,DEL,7,GAU-DEL
I5 786,GAU,DEL,7,GAU-DEL
I5 762,MAA,DEL,7,MAA-DEL
I5 764,MAA,DEL,7,MAA-DEL
I5 766,MAA,DEL,7,MAA-DEL
I5 778,GOI,DEL,6,GOI-DEL
I5 776,GOI,DEL,7,GOI-DEL
I5 799,GOI,DEL,7,GOI-DEL
I5 774,GOI,DEL,7,GOI-DEL
I5 552,CCU,DEL,1,CCU-DEL
I5 551,CCU,DEL,6,CCU-DEL
I5 579,CCU,DEL,7,CCU-DEL
I5 547,CCU,DEL,7,CCU-DEL
I5 716,SXR,DEL,7,SXR-DEL
I5 559,SXR,DEL,1,SXR-DEL
I5 713,SXR,DEL,7,SXR-DEL
I5 1564,HYD,BBI,7,HYD-BBI
I5 1567,BLR,BBI,7,BLR-BBI
I5 1567,BLR,BBI,7,BLR-BBI
I5 543,BLR,BBI,2,BLR-BBI
I5 543,BLR,BBI,1,BLR-BBI
I5 536,BLR,BBI,1,BLR-BBI
I5 536,BLR,BBI,6,BLR-BBI
I5 1562,BLR,BBI,2,BLR-BBI
I5 1562,BLR,BBI,6,BLR-BBI
I5 1562,BLR,BBI,1,BLR-BBI
I5 1562,BLR,BBI,1,BLR-BBI
I5 1562,BLR,BBI,6,BLR-BBI
I5 1562,BLR,BBI,1,BLR-BBI
I5 535,CCU,BBI,1,CCU-BBI
I5 535,CCU,BBI,7,CCU-BBI
I5 1563,CCU,BBI,7,CCU-BBI
I5 767,DEL,IXB,7,DEL-IXB
I5 756,DEL,IXB,7,DEL-IXB
I5 881,DEL,IXB,1,DEL-IXB
I5 742,DEL,IXB,7,DEL-IXB
I5 742,DEL,IXB,7,DEL-IXB
I5 767,DEL,IXB,7,DEL-IXB
I5 2392,BLR,IXB,6,BLR-IXB
I5 2392,BLR,IXB,7,BLR-IXB
I5 2392,BLR,IXB,1,BLR-IXB
I5 2392,BLR,IXB,7,BLR-IXB
I5 441,MAA,IXB,7,MAA-IXB
I5 582,CCU,IXB,7,CCU-IXB
I5 589,CCU,IXB,7,CCU-IXB
I5 1529,HYD,COK,6,HYD-COK
I5 1529,HYD,COK,1,HYD-COK
I5 791,DEL,COK,1,DEL-COK
I5 791,DEL,COK,7,DEL-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,1,BLR-COK
I5 1451,BLR,COK,3,BLR-COK
I5 1451,BLR,COK,3,BLR-COK
I5 1451,BLR,COK,3,BLR-COK
I5 1354,BLR,COK,1,BLR-COK
I5 1624,BLR,COK,6,BLR-COK
I5 1624,BLR,COK,6,BLR-COK
I5 1624,BLR,COK,6,BLR-COK
I5 1129,BLR,COK,1,BLR-COK
I5 1129,BLR,COK,1,BLR-COK
I5 1129,BLR,COK,6,BLR-COK
I5 1129,BLR,COK,6,BLR-COK
I5 451,MAA,COK,7,MAA-COK
I5 446,MAA,COK,4,MAA-COK
I5 446,MAA,COK,1,MAA-COK
